geo_id,year,promotion_rate,promotion_rate_male,promotion_rate_female,repetition_rate,repetition_rate_male,repetition_rate_female,dropout_rate,dropout_rate_male,dropout_rate_female,completion_rate,completion_rate_male,completion_rate_female
CRI_000215,2014,0.9534109816971714,0.955,0.9518272425249169,0.04658901830282862,0.022462562396006656,0.024126455906821963,0.004132231404958678,0.0024793388429752068,0.001652892561983471,1.0,1.0,1.0
CRI_001512,2014,0.9870646766169154,0.9844357976653697,0.9898167006109979,0.012935323383084577,0.007960199004975124,0.004975124378109453,0.022571148184494603,0.011776251226692836,0.010794896957801767,1.0,1.0,1.0
CRI_000048,2014,0.9415105053946621,0.9449244060475162,0.9377245508982036,0.05848949460533787,0.028960817717206135,0.029528676888131742,0.017386427369601793,0.007851934941110488,0.009534492428491307,0.9572953736654805,0.9659863945578231,0.9477611940298507
CRI_000043,2014,0.9392446633825944,0.9242424242424242,0.9535256410256411,0.060755336617405585,0.03694581280788178,0.023809523809523808,0.01066447908121411,0.004922067268252666,0.005742411812961444,1.0,1.0,1.0
CRI_001274,2014,0.9750479846449136,0.9718875502008032,0.9779411764705882,0.02495201535508637,0.013435700575815739,0.011516314779270634,0.033707865168539325,0.031835205992509365,0.0018726591760299626,1.0,1.0,1.0
CRI_000108,2014,0.9368421052631579,0.9251412429378532,0.9483960948396095,0.06315789473684211,0.037192982456140354,0.025964912280701753,0.03711484593837535,0.01610644257703081,0.02100840336134454,0.9288537549407114,0.9312977099236641,0.9262295081967213
CRI_001485,2014,0.9689387402933564,0.9635157545605307,0.9748201438848921,0.031061259706643658,0.01898188093183779,0.012079378774805867,0.012953367875647668,0.008635578583765112,0.004317789291882556,1.0,1.0,1.0
CRI_001409,2014,0.9833333333333333,0.9785992217898832,0.9881422924901185,0.016666666666666666,0.010784313725490196,0.0058823529411764705,0.01001001001001001,0.004004004004004004,0.006006006006006006,0.945054945054945,0.9176470588235294,0.9690721649484536
CRI_003730,2014,0.9829192546583851,0.9745222929936306,0.990909090909091,0.017080745341614908,0.012422360248447204,0.004658385093167702,0.012718600953895072,0.0047694753577106515,0.00794912559618442,0.9905660377358491,0.9811320754716981,1.0
CRI_000124,2014,0.9420849420849421,0.9401709401709402,0.9442176870748299,0.05791505791505792,0.03153153153153153,0.026383526383526385,0.022095959595959596,0.013257575757575758,0.008838383838383838,1.0,1.0,1.0
CRI_000090,2014,0.9601040763226366,0.9483648881239243,0.972027972027972,0.0398959236773634,0.026019080659150044,0.013876843018213356,0.03127641589180051,0.0169061707523246,0.014370245139475908,1.0,1.0,1.0
CRI_000188,2014,0.9940577249575552,0.9931506849315068,0.9949494949494949,0.005942275042444821,0.003395585738539898,0.0025466893039049238,0.027317880794701987,0.01076158940397351,0.016556291390728478,1.0,1.0,1.0
CRI_000241,2014,0.9786163522012579,0.9744245524296675,0.9826732673267327,0.021383647798742137,0.012578616352201259,0.00880503144654088,0.018891687657430732,0.007556675062972292,0.011335012594458438,1.0,1.0,1.0
CRI_000071,2014,0.9893129770992366,0.9885714285714285,0.9901639344262295,0.010687022900763359,0.0061068702290076335,0.004580152671755725,0.004629629629629629,0.0015432098765432098,0.0030864197530864196,1.0,1.0,1.0
CRI_001509,2014,0.9856054191363252,0.9830795262267343,0.988135593220339,0.014394580863674851,0.00846740050804403,0.0059271803556308214,0.01350210970464135,0.0016877637130801688,0.01181434599156118,0.9957627118644068,1.0,0.9917355371900827
