geo_id,source_id,country,school_name,school_name_romanized,isced_level,school_type,sector,adm0,adm1,adm2,adm3,urban_rural,ghsl_smod_code,ghsl_urban_rural,latitude,longitude,coordinate_source,coordinate_precision,status,source_id_institution
COL_006423,252207000328,COL,CENTRO EDUCATIVO ALTO BOMBONA,,0123,sede_principal,public,Colombia,Nariño,Consacá,,rural,,,1.23,-77.48,official_emis,approximate,open,252207000328
COL_006424,252678000948,COL,CENTRO EDUCATIVO ALTO CARTAGENA,,0123,sede_principal,public,Colombia,Nariño,Samaniego,,rural,,,1.31,-77.63,official_emis,approximate,open,252678000948
COL_006425,252612000831,COL,CENTRO EDUCATIVO ALTO CARTAGENA,,0123,sede_principal,public,Colombia,Nariño,Ricaurte,,rural,,,1.22,-78.0,official_emis,approximate,open,252612000831
COL_006426,252411000183,COL,CENTRO EDUCATIVO ALTO DE ARANDA,,0123,sede_principal,public,Colombia,Nariño,Linares,,rural,,,1.35,-77.53,official_emis,approximate,open,252411000183
COL_006427,252203000196,COL,CENTRO EDUCATIVO ALTO DE VILLANUEVA,,0123,sede_principal,public,Colombia,Nariño,Colon,,rural,,,1.66,-77.06,official_emis,approximate,open,252203000196
COL_006428,252352000077,COL,CENTRO EDUCATIVO ALTO DEL REY,,0123,sede_principal,public,Colombia,Nariño,Iles,,rural,,,0.96,-77.51,official_emis,approximate,open,252352000077
COL_006429,252381000337,COL,CENTRO EDUCATIVO ALTO GARCES,,0123,sede_principal,public,Colombia,Nariño,La Florida,,rural,,,1.33,-77.37,official_emis,approximate,open,252381000337
COL_006430,252473000805,COL,CENTRO EDUCATIVO ALTO GUANDIPA,,0123,sede_principal,public,Colombia,Nariño,Mosquera,,rural,,,2.36,-78.45,official_emis,approximate,open,252473000805
COL_006431,252019000264,COL,CENTRO EDUCATIVO ALTO JUNIN,,0123,sede_principal,public,Colombia,Nariño,San Bernardo,,rural,,,1.53,-76.99,official_emis,approximate,open,252019000264
COL_006432,252378000679,COL,CENTRO EDUCATIVO ALTO LA CUMBRE,,0123,sede_principal,public,Colombia,Nariño,La Cruz,,rural,,,1.58,-76.99,official_emis,approximate,open,252378000679
COL_006433,252693000342,COL,CENTRO EDUCATIVO ALTO LLANO,,0123,sede_principal,public,Colombia,Nariño,Florencia,,rural,,,1.69,-77.06,official_emis,approximate,open,252693000342
COL_006434,252022000143,COL,CENTRO EDUCATIVO ALTO MUESAS,,0123,sede_principal,public,Colombia,Nariño,Aldana,,rural,,,0.91,-77.72,official_emis,approximate,open,252022000143
COL_006435,252678000191,COL,CENTRO EDUCATIVO ALTO PACUAL,,0123,sede_principal,public,Colombia,Nariño,Samaniego,,rural,,,1.37,-77.62,official_emis,approximate,open,252678000191
COL_006436,252260000071,COL,CENTRO EDUCATIVO ALTO PEÑOL,,0123,sede_principal,public,Colombia,Nariño,El Peñol,,rural,,,1.47,-77.48,official_emis,approximate,open,252260000071
COL_006437,152490000687,COL,CENTRO EDUCATIVO ALTO SAN ANTONIO,,0123,sede_principal,public,Colombia,Nariño,Olaya Herrera (Bocas De Satinga),,rural,,,2.24,-78.34,official_emis,approximate,open,152490000687
COL_006438,252260000721,COL,CENTRO EDUCATIVO ALTO SAN FRANCISCO,,0123,sede_principal,public,Colombia,Nariño,El Peñol,,rural,,,1.47,-77.42,official_emis,approximate,open,252260000721
COL_006439,252560000081,COL,CENTRO EDUCATIVO ALTO SINAI,,0123,sede_principal,public,Colombia,Nariño,Potosí,,rural,,,0.82,-77.49,official_emis,approximate,open,252560000081
COL_006440,252612000858,COL,CENTRO EDUCATIVO ALTO TEFÍ,,0123,sede_principal,public,Colombia,Nariño,Ricaurte,,rural,,,1.21,-78.04,official_emis,approximate,open,252612000858
COL_006441,252079001596,COL,CENTRO EDUCATIVO ALTO TELEMBI,,0123,sede_principal,public,Colombia,Nariño,Barbacoas,,rural,,,1.68,-78.18,official_emis,approximate,open,252079001596
COL_006442,252207000310,COL,CENTRO EDUCATIVO ALTO TINAJILLAS,,0123,sede_principal,public,Colombia,Nariño,Consacá,,rural,,,1.23,-77.48,official_emis,approximate,open,252207000310
COL_006443,252079001626,COL,CENTRO EDUCATIVO ALTO ULBI,,0123,sede_principal,public,Colombia,Nariño,Barbacoas,,rural,,,1.68,-78.18,official_emis,approximate,open,252079001626
COL_006444,252260000372,COL,CENTRO EDUCATIVO AMINDA,,0123,sede_principal,public,Colombia,Nariño,El Tambo,,rural,,,1.4,-77.44,official_emis,approximate,open,252260000372
COL_006445,252233000247,COL,CENTRO EDUCATIVO AMINDA,,0123,sede_principal,public,Colombia,Nariño,Cumbitara,,rural,,,1.62,-77.5,official_emis,approximate,open,252233000247
COL_006446,252678000166,COL,CENTRO EDUCATIVO ANDALUCIA,,0123,sede_anexa,public,Colombia,Nariño,Samaniego,,rural,,,1.46,-77.81,official_emis,approximate,open,252678000166
COL_006447,252612000564,COL,CENTRO EDUCATIVO ANDALUCÍA,,0123,sede_principal,public,Colombia,Nariño,Ricaurte,,rural,,,1.16,-78.07,official_emis,approximate,open,252612000564
COL_006448,452427000751,COL,CENTRO EDUCATIVO ANGOSTURA,,0123,sede_principal,public,Colombia,Nariño,Magüí (Payán),,rural,,,1.93,-77.93,official_emis,approximate,open,452427000751
COL_006449,252612000912,COL,CENTRO EDUCATIVO ANGOSTURA,,0123,sede_principal,public,Colombia,Nariño,Ricaurte,,rural,,,1.06,-78.26,official_emis,approximate,open,252612000912
COL_006450,252696001340,COL,CENTRO EDUCATIVO ANGOSTURA SANABRIA,,0123,sede_principal,public,Colombia,Nariño,Santa Bárbara (Iscuandé),,rural,,,2.49,-77.99,official_emis,approximate,open,252696001340
COL_006451,270670000181,COL,CENTRO EDUCATIVO ANTONIO NARINO,,0123,sede_anexa,public,Colombia,Sucre,Sampués,,rural,,,9.14,-75.34,official_emis,approximate,open,270670000165
COL_006452,117524000177,COL,CENTRO EDUCATIVO ANTONIO NARIÑO,,0123,sede_anexa,public,Colombia,Caldas,Palestina,,urban,,,5.02,-75.63,official_emis,approximate,open,117524000118
COL_006453,217873000219,COL,CENTRO EDUCATIVO ANTONIO NARIÑO,,0123,sede_anexa,public,Colombia,Caldas,Villamaria,,rural,,,4.99,-75.49,official_emis,approximate,open,217873000375
COL_006454,252207000093,COL,CENTRO EDUCATIVO ANTONIO NARIÑO,,0123,sede_principal,public,Colombia,Nariño,Consacá,,rural,,,1.22,-77.46,official_emis,approximate,open,252207000093
COL_006455,270771000441,COL,CENTRO EDUCATIVO ARBOLEDA,,0123,sede_anexa,public,Colombia,Sucre,Sucre,,rural,,,8.82,-74.63,official_emis,approximate,open,270771011516
COL_006456,252678001031,COL,CENTRO EDUCATIVO ARCHIDUQUE,,0123,sede_principal,public,Colombia,Nariño,Samaniego,,rural,,,1.37,-77.59,official_emis,approximate,open,252678001031
COL_006457,252079001162,COL,CENTRO EDUCATIVO ARENAL,,0123,sede_principal,public,Colombia,Nariño,Barbacoas,,rural,,,1.7,-78.12,official_emis,approximate,open,252079001162
COL_006458,252885000061,COL,CENTRO EDUCATIVO ARGUELLO ALTO,,0123,sede_principal,public,Colombia,Nariño,Yacuanquer,,rural,,,1.13,-77.47,official_emis,approximate,open,252885000061
COL_006459,252885000192,COL,CENTRO EDUCATIVO ARGUELLO BAJO,,0123,sede_principal,public,Colombia,Nariño,Yacuanquer,,rural,,,1.13,-77.47,official_emis,approximate,open,252885000192
COL_006460,252687000101,COL,CENTRO EDUCATIVO ARMENIA,,0123,sede_principal,public,Colombia,Nariño,San Lorenzo,,rural,,,1.47,-77.23,official_emis,approximate,open,252687000101
COL_006461,252699000077,COL,CENTRO EDUCATIVO ARRAYAN,,0123,sede_principal,public,Colombia,Nariño,Santa Cruz (Guachavés),,rural,,,1.31,-77.73,official_emis,approximate,open,252699000077
COL_006462,252838000982,COL,CENTRO EDUCATIVO ARRAYAN SALADO,,0123,sede_principal,public,Colombia,Nariño,Tuquerres,,rural,,,1.13,-77.65,official_emis,approximate,open,252838000982
COL_006463,252051000420,COL,CENTRO EDUCATIVO ARRAYANES,,0123,sede_principal,public,Colombia,Nariño,Arboleda,,rural,,,1.5,-77.15,official_emis,approximate,open,252051000420
COL_006464,270523002071,COL,CENTRO EDUCATIVO ARROYO ARENA,,0123,sede_anexa,public,Colombia,Sucre,Palmito,,rural,,,9.33,-75.56,official_emis,approximate,open,270523000044
COL_006465,208606000189,COL,CENTRO EDUCATIVO ARROYO NEGRO,,0123,sede_principal,public,Colombia,Atlántico,Repelón,,rural,,,10.57,-75.15,official_emis,approximate,open,208606000189
COL_006466,270713000954,COL,CENTRO EDUCATIVO ARROYO SECO,,0123,sede_anexa,public,Colombia,Sucre,San Onofre,,rural,,,9.88,-75.58,official_emis,approximate,open,270713000067
COL_006467,252317000269,COL,CENTRO EDUCATIVO ARVELA,,0123,sede_principal,public,Colombia,Nariño,Guachucal,,rural,,,0.98,-77.67,official_emis,approximate,open,252317000269
COL_006468,219743000074,COL,CENTRO EDUCATIVO ASNENGA,,0123,sede_anexa,public,Colombia,Cauca,Silvia,,rural,,,2.76,-76.37,official_emis,approximate,open,219743000961
COL_006469,252427000043,COL,CENTRO EDUCATIVO AURORA,,0123,sede_principal,public,Colombia,Nariño,Magüí (Payán),,rural,,,1.77,-78.14,official_emis,approximate,open,252427000043
COL_006470,252490001149,COL,CENTRO EDUCATIVO BAJITO SOLEDAD,,0123,sede_principal,public,Colombia,Nariño,Olaya Herrera (Bocas De Satinga),,rural,,,2.27,-78.37,official_emis,approximate,open,252490001149
COL_006471,252678000701,COL,CENTRO EDUCATIVO BAJO CANADA,,0123,sede_principal,public,Colombia,Nariño,La Llanada,,rural,,,1.51,-77.71,official_emis,approximate,open,252678000701
COL_006472,252612001030,COL,CENTRO EDUCATIVO BAJO GUALCALA,,0123,sede_principal,public,Colombia,Nariño,Ricaurte,,rural,,,1.35,-77.88,official_emis,approximate,open,252612001030
COL_006473,252490000282,COL,CENTRO EDUCATIVO BAJO MERIZALDE,,0123,sede_principal,public,Colombia,Nariño,Olaya Herrera (Bocas De Satinga),,rural,,,2.35,-78.28,official_emis,approximate,open,252490000282
COL_006474,252418000693,COL,CENTRO EDUCATIVO BAJO PROVIDENCIA,,0123,sede_principal,public,Colombia,Nariño,Los Andes,,rural,,,1.66,-77.62,official_emis,approximate,open,252418000693
COL_006475,252520000134,COL,CENTRO EDUCATIVO BAJO SAN IGNACIO NO 2,,0123,sede_principal,public,Colombia,Nariño,Francisco Pizarro (Salahonda),,rural,,,2.19,-78.69,official_emis,approximate,open,252520000134
COL_006476,252490000339,COL,CENTRO EDUCATIVO BAJO ZEPANGUE,,0123,sede_principal,public,Colombia,Nariño,Olaya Herrera (Bocas De Satinga),,rural,,,2.38,-78.26,official_emis,approximate,open,252490000339
COL_006477,252250000455,COL,CENTRO EDUCATIVO BALZAL,,0123,sede_principal,public,Colombia,Nariño,El Charco,,rural,,,2.2,-78.12,official_emis,approximate,open,252250000455
COL_006478,252250000234,COL,CENTRO EDUCATIVO BANGUELA,,0123,sede_principal,public,Colombia,Nariño,El Charco,,rural,,,2.39,-78.12,official_emis,approximate,open,252250000234
COL_006479,252490000223,COL,CENTRO EDUCATIVO BARBACOITA,,0123,sede_principal,public,Colombia,Nariño,Olaya Herrera (Bocas De Satinga),,rural,,,2.28,-78.26,official_emis,approximate,open,252490000223
COL_006480,270713000270,COL,CENTRO EDUCATIVO BARRANCA,,0123,sede_principal,public,Colombia,Sucre,San Onofre,,rural,,,9.91,-75.54,official_emis,approximate,open,270713000270
COL_006481,252473001054,COL,CENTRO EDUCATIVO BARRERA,,0123,sede_principal,public,Colombia,Nariño,Mosquera,,rural,,,2.55,-78.47,official_emis,approximate,open,252473001054
COL_006482,252079001391,COL,CENTRO EDUCATIVO BARRO BLANCO,,0123,sede_principal,public,Colombia,Nariño,Barbacoas,,rural,,,1.69,-78.09,official_emis,approximate,open,252079001391
COL_006483,168255001572,COL,CENTRO EDUCATIVO BASICO  PIES DESCALZOS,,0123,sede_anexa,public,Colombia,Santander,El Playón,,urban,,,7.47,-73.2,official_emis,approximate,open,168255000011
COL_006484,252693000113,COL,CENTRO EDUCATIVO BATEROS,,0123,sede_principal,public,Colombia,Nariño,San Pablo,,rural,,,1.69,-77.01,official_emis,approximate,open,252693000113
COL_006485,270708000318,COL,CENTRO EDUCATIVO BELEN,,0123,sede_principal,public,Colombia,Sucre,San Marcos,,rural,,,8.7,-75.13,official_emis,approximate,open,270708000318
COL_006486,252540000718,COL,CENTRO EDUCATIVO BELLA ESPERANZA,,0123,sede_principal,public,Colombia,Nariño,Policarpa,,rural,,,1.78,-77.44,official_emis,approximate,open,252540000718
COL_006487,252540000319,COL,CENTRO EDUCATIVO BELLA ESPERANZA DEL SUR,,0123,sede_principal,public,Colombia,Nariño,Policarpa,,rural,,,1.68,-77.36,official_emis,approximate,open,252540000319
COL_006488,252427000647,COL,CENTRO EDUCATIVO BELLA UNION,,0123,sede_principal,public,Colombia,Nariño,Magüí (Payán),,rural,,,1.98,-78.19,official_emis,approximate,open,252427000647
COL_006489,452490000761,COL,CENTRO EDUCATIVO BELLA UNIÓN,,0123,sede_principal,public,Colombia,Nariño,Olaya Herrera (Bocas De Satinga),,rural,,,2.45,-78.26,official_emis,approximate,open,452490000761
COL_006490,252411000141,COL,CENTRO EDUCATIVO BELLA VISTA,,0123,sede_principal,public,Colombia,Nariño,Linares,,rural,,,1.41,-77.54,official_emis,approximate,open,252411000141
COL_006491,252250000374,COL,CENTRO EDUCATIVO BELLAVISTA,,0123,sede_principal,public,Colombia,Nariño,El Charco,,rural,,,2.48,-78.1,official_emis,approximate,open,252250000374
COL_006492,252693000326,COL,CENTRO EDUCATIVO BELLAVISTA,,0123,sede_principal,public,Colombia,Nariño,San Pablo,,rural,,,1.66,-76.92,official_emis,approximate,open,252693000326
COL_006493,252354000244,COL,CENTRO EDUCATIVO BELLAVISTA,,0123,sede_principal,public,Colombia,Nariño,Imues,,rural,,,1.07,-77.49,official_emis,approximate,open,252354000244
COL_006494,252540000505,COL,CENTRO EDUCATIVO BELLAVISTA,,0123,sede_principal,public,Colombia,Nariño,Policarpa,,rural,,,1.64,-77.4,official_emis,approximate,open,252540000505
COL_006495,252490000011,COL,CENTRO EDUCATIVO BELLAVISTA,,0123,sede_principal,public,Colombia,Nariño,Olaya Herrera (Bocas De Satinga),,rural,,,2.24,-78.25,official_emis,approximate,open,252490000011
COL_006496,252678000671,COL,CENTRO EDUCATIVO BELLAVISTA,,0123,sede_principal,public,Colombia,Nariño,Ancuya,,rural,,,1.23,-77.56,official_emis,approximate,open,252678000671
COL_006497,252687000691,COL,CENTRO EDUCATIVO BELLAVISTA,,0123,sede_principal,public,Colombia,Nariño,San Lorenzo,,rural,,,1.47,-77.2,official_emis,approximate,open,252687000691
COL_006498,252227000766,COL,CENTRO EDUCATIVO BELLAVISTA,,0123,sede_principal,public,Colombia,Nariño,Cumbal,,rural,,,0.85,-77.83,official_emis,approximate,open,252227000766
COL_006499,252381000094,COL,CENTRO EDUCATIVO BELLAVISTA,,0123,sede_principal,public,Colombia,Nariño,La Florida,,rural,,,1.31,-77.44,official_emis,approximate,open,252381000094
COL_006500,252260000283,COL,CENTRO EDUCATIVO BELLO HORIZONTE,,0123,sede_principal,public,Colombia,Nariño,El Tambo,,rural,,,1.39,-77.38,official_emis,approximate,open,252260000283
COL_006501,270713000121,COL,CENTRO EDUCATIVO BERLIN,,0123,sede_principal,public,Colombia,Sucre,San Onofre,,rural,,,9.68,-75.53,official_emis,approximate,open,270713000121
COL_006502,252079000905,COL,CENTRO EDUCATIVO BERLIN,,0123,sede_principal,public,Colombia,Nariño,Barbacoas,,rural,,,1.41,-78.24,official_emis,approximate,open,252079000905
COL_006503,252019000175,COL,CENTRO EDUCATIVO BETANIA,,0123,sede_principal,public,Colombia,Nariño,Albán (San José),,rural,,,1.49,-77.04,official_emis,approximate,open,252019000175
COL_006504,252678001065,COL,CENTRO EDUCATIVO BETANIA,,0123,sede_principal,public,Colombia,Nariño,Samaniego,,rural,,,1.44,-77.77,official_emis,approximate,open,252678001065
