geo_id,source_id,country,school_name,school_name_romanized,isced_level,school_type,sector,adm0,adm1,adm2,adm3,urban_rural,ghsl_smod_code,ghsl_urban_rural,latitude,longitude,coordinate_source,coordinate_precision,status
BLZ_000143,P60101,BLZ,Na Luum Ca Government Primary School,,1,Primary,public,Belize,Toledo,Toledo West,,rural,11,rural,16.286352,-89.080682,official_emis,exact,unknown
BLZ_000144,S15001,BLZ,Nazarene High School,,2|3,Secondary,public,Belize,Belize,Caribbean Shores,,urban,30,urban,17.507925,-88.1981201,official_emis,exact,unknown
BLZ_000145,S47001,BLZ,New Hope High School,,2|3,Secondary,public,Belize,Orange Walk,Orange Walk North,,urban,21,peri_urban,18.08423719,-88.57558464,official_emis,exact,unknown
BLZ_000146,P14003,BLZ,New Horizon SDA Primary School,,1,Primary,public,Belize,Belize,Belize Rural North,,urban,13,rural,17.903028,-87.978804,official_emis,exact,unknown
BLZ_000147,P20106,BLZ,New Life Government Primary-CYO,,1,Primary,public,Belize,Cayo,Cayo North East,,rural,12,rural,17.2195085,-89.0195925,official_emis,exact,unknown
BLZ_000148,P49003,BLZ,New Life Presbyterian Primary,,1,Primary,public,Belize,Orange Walk,Orange Walk North,,urban,23,urban,18.0928431,-88.5626669,official_emis,exact,unknown
BLZ_000149,P41403,BLZ,Nuevo San Juan RC Primary,,1,Primary,public,Belize,Orange Walk,Orange Walk North,,rural,11,rural,18.226415,-88.578292,official_emis,exact,unknown
BLZ_000150,S17003,BLZ,Ocean Academy High School,,2|3,Secondary,public,Belize,,Belize Rural North,,rural,13,rural,17.7366771,-88.029892,official_emis,exact,unknown
BLZ_000151,P29401,BLZ,Ontario Christian Primary,,1,Primary,public,Belize,Cayo,Cayo Central,,rural,13,rural,17.2265739,-88.8899186,official_emis,exact,unknown
BLZ_000152,S40001,BLZ,Orange Walk Technical High School,,2|3,Secondary,public,Belize,Orange Walk,Orange Walk North,,urban,21,peri_urban,18.0855768,-88.5726507,official_emis,exact,unknown
BLZ_000153,P61301,BLZ,Our Lady of Bella Vista RC Primary,,1,Primary,public,Belize,Toledo,Toledo East,,rural,13,rural,16.5093409,-88.5340734,official_emis,exact,unknown
BLZ_000154,P41201,BLZ,Our Lady of Fatima RC Primary,,1,Primary,public,Belize,Orange Walk,Orange Walk Central,,urban,21,peri_urban,18.08223,-88.567239,official_emis,exact,unknown
BLZ_000155,P21405,BLZ,Our Lady of Fatima RC Primary-CYO,,1,Primary,public,Belize,Cayo,Cayo South,,rural,23,urban,17.2595782,-88.7922639,official_emis,exact,unknown
BLZ_000156,S21004,BLZ,Our Lady of Guadalupe RC High School,,2|3,Secondary,public,Belize,Cayo,Belmopan,,urban,12,rural,17.26747375,-88.76513798,official_emis,exact,unknown
BLZ_000157,P31401,BLZ,Our Lady of Guadalupe RC Primary School,,1,Primary,public,Belize,Corozal,Corozal North,,rural,21,peri_urban,18.4021551,-88.3834572,official_emis,exact,unknown
BLZ_000158,P21008,BLZ,Our Lady of Guadalupe RC Primary-CYO,,1,Primary,public,Belize,Cayo,Belmopan,,urban,23,urban,17.24926728,-88.76365421,official_emis,exact,unknown
BLZ_000159,P11202,BLZ,Our Lady of Lourdes RC Primary,,1,Primary,public,Belize,Belize,Belize Rural North,,rural,12,rural,17.881997,-88.313076,official_emis,exact,unknown
BLZ_000160,P61106,BLZ,Our Lady of Sorrows R.C Primary,,1,Primary,public,Belize,Toledo,Toledo East,,rural,12,rural,15.98958548,-89.21158215,official_emis,exact,unknown
BLZ_000161,P11403,BLZ,Our Lady of the Way Primary,,1,Primary,public,Belize,Belize,Belize Rural North,,rural,23,urban,17.548532,-88.297967,official_emis,exact,unknown
BLZ_000162,S21002,BLZ,Our lady of Mount Carmel High School,,2|3,Secondary,public,Belize,Cayo,Cayo West,,urban,23,urban,17.0724036,-89.13514763,official_emis,exact,unknown
BLZ_000163,S11001,BLZ,Pallotti High School,,2|3,Secondary,public,Belize,Belize,Caribbean Shores,,urban,30,urban,17.5050251,-88.1971102,official_emis,exact,unknown
BLZ_000164,P19402,BLZ,Pancotto Primary,,1,Primary,public,Belize,Belize,Belize Rural North,,rural,12,rural,17.6308428,-88.3686216,official_emis,exact,unknown
BLZ_000165,P30403,BLZ,Paraiso Government Primary School,,1,Primary,public,Belize,Corozal,Corozal North,,rural,21,peri_urban,18.40985129,-88.39463336,official_emis,exact,unknown
BLZ_000166,P31408,BLZ,Patchakan RC Primary School,,1,Primary,public,Belize,Corozal,Corozal North,,rural,13,rural,18.40201008,-88.47301758,official_emis,exact,unknown
BLZ_000167,P39450,BLZ,Presbyterian Day Primary School,,1,Primary,public,Belize,Corozal,Corozal North,,rural,12,rural,18.34980796,-88.49613895,official_emis,exact,unknown
BLZ_000168,P31103,BLZ,Progresso RC Primary School,,1,Primary,public,Belize,Corozal,Corozal South East,,rural,11,rural,18.23599445,-88.40945715,official_emis,exact,unknown
BLZ_000169,P34403,BLZ,Progresso Zills SDA Primary,,1,Primary,public,Belize,Corozal,Corozal South East,,rural,12,rural,18.23560771,-88.40501605,official_emis,exact,unknown
BLZ_000170,S64101,BLZ,Providence SDA High School,,2|3,Secondary,public,Belize,Toledo,Toledo West,,rural,12,rural,16.248588,-89.016305,official_emis,exact,unknown
BLZ_000171,P63001,BLZ,Punta Gorda Methodist Primary,,1,Primary,public,Belize,,Toledo East,,urban,23,urban,16.101592,-88.801299,official_emis,exact,unknown
BLZ_000172,P12004,BLZ,Queen Square Anglican Primary,,1,Primary,public,Belize,Belize,Mesopotamia,,urban,30,urban,17.49048,-88.1944353,official_emis,exact,unknown
BLZ_000173,P19005,BLZ,Queen Street Baptist Primary School,,1,Primary,public,Belize,Belize,Fort George,,urban,30,urban,17.497816,-88.183864,official_emis,exact,unknown
BLZ_000174,P30404,BLZ,Ranchito Government Primary School,,1,Primary,public,Belize,Corozal,Corozal North,,rural,21,peri_urban,18.3796863,-88.4122235,official_emis,exact,unknown
BLZ_000175,P25401,BLZ,Raymond Sheppard Nazarene Primary School,,1,Primary,public,Belize,Cayo,Cayo South,,rural,23,urban,17.2585413,-88.7915227,official_emis,exact,unknown
BLZ_000176,P56302,BLZ,Red Bank Christian School,,1,Primary,public,Belize,Stann Creek,Stann Creek West,,rural,12,rural,16.61964,-88.56008,official_emis,exact,unknown
BLZ_000177,P51302,BLZ,Richard Quinn RC Primary School,,1,Primary,public,Belize,Stann Creek,Stann Creek West,,rural,11,rural,16.65261144,-88.50952111,official_emis,exact,unknown
BLZ_000178,S21001,BLZ,Sacred Heart College,,2|3,Secondary,public,Belize,Cayo,Cayo North East,,urban,23,urban,17.16106939,-89.07501095,official_emis,exact,unknown
BLZ_000179,P61105,BLZ,Sacred Heart RC Primary School,,1,Primary,public,Belize,Toledo,Toledo East,,rural,12,rural,15.984,-89.105606,official_emis,exact,unknown
BLZ_000180,P51004,BLZ,Sacred Heart RC Primary School,,1,Primary,public,Belize,,Dangriga,,urban,23,urban,16.9725543,-88.22269528,official_emis,exact,unknown
BLZ_000181,P21005,BLZ,Sacred Heart RC Primary School-CYO,,1,Primary,public,Belize,Cayo,Cayo North East,,urban,23,urban,17.15722596,-89.07204999,official_emis,exact,unknown
BLZ_000182,S10004,BLZ,Sadie Vernon Technical High School,,2|3,Secondary,public,Belize,Belize,Lake Independence,,urban,30,urban,17.501393,-88.200535,official_emis,exact,unknown
BLZ_000183,P12304,BLZ,Saint Agnes Anglican Primary School,,1,Primary,public,Belize,Belize,Belize Rural North,,rural,12,rural,17.343375,-88.55092,official_emis,exact,unknown
BLZ_000184,P51201,BLZ,Saint Alphonsus RC Primary,,1,Primary,public,Belize,,Stann Creek West,,rural,22,urban,16.56613,-88.36658,official_emis,exact,unknown
BLZ_000185,P22001,BLZ,Saint Andrew Anglican Primary School,,1,Primary,public,Belize,Cayo,Cayo North East,,urban,23,urban,17.162648,-89.07193407,official_emis,exact,unknown
BLZ_000186,P22002,BLZ,Saint Ann's Anglican Primary School,,1,Primary,public,Belize,Cayo,Belmopan,,urban,23,urban,17.2498284,-88.7686522,official_emis,exact,unknown
BLZ_000187,P51404,BLZ,Saint Augustine RC Primary School,,1,Primary,public,Belize,Stann Creek,Stann Creek West,,rural,11,rural,17.02708,-88.51212,official_emis,exact,unknown
BLZ_000188,P22402,BLZ,Saint Barnabas Anglican Primary School,,1,Primary,public,Belize,Cayo,Cayo Central,,rural,12,rural,17.1865311,-89.00141388,official_emis,exact,unknown
BLZ_000189,P61003,BLZ,Saint Benedict RC Primary,,1,Primary,public,Belize,Toledo,Toledo East,,urban,12,rural,16.104267,-88.8175708,official_emis,exact,unknown
BLZ_000190,S11002,BLZ,Saint Catherine Academy,,2|3,Secondary,public,Belize,,Fort George,,urban,30,urban,17.49654584,-88.18271036,official_emis,exact,unknown
BLZ_000191,P60105,BLZ,Saint Cuthberts Primary School,,1,Primary,public,Belize,,Toledo East,,rural,11,rural,16.272939,-88.544527,official_emis,exact,unknown
BLZ_000192,P21407,BLZ,Saint Edmund Campion Primary School,,1,Primary,public,Belize,Cayo,Cayo Central,,rural,12,rural,17.2250142,-88.8571977,official_emis,exact,unknown
BLZ_000193,P31002,BLZ,Saint Francis Xavier Primary School,,1,Primary,public,Belize,Corozal,Corozal Bay,,urban,23,urban,18.39089699,-88.38581614,official_emis,exact,unknown
BLZ_000194,P21408,BLZ,Saint Francis Xavier RC Primary School-CYO,,1,Primary,public,Belize,Cayo,Cayo North East,,rural,12,rural,17.18062135,-89.03596134,official_emis,exact,unknown
BLZ_000195,P22401,BLZ,Saint Hilda's Anglican Primary School,,1,Primary,public,Belize,Cayo,Cayo Central,,rural,12,rural,17.19352,-88.97925,official_emis,exact,unknown
BLZ_000196,S21003,BLZ,Saint Ignatius High School,,2|3,Secondary,public,Belize,Cayo,Cayo Central,,urban,23,urban,17.15785688,-89.06653845,official_emis,exact,unknown
