geo_id,source_id,lby_reliable
LBY_000163,MI-207,Reliable
LBY_000164,SI-001,Reliable
LBY_000165,ZA-184,Reliable
LBY_000166,BI-054,Reliable
LBY_000167,MU-145,Reliable
LBY_000168,SI-069,Reliable
LBY_000169,MI-046,Reliable
LBY_000170,KU-273,Reliable
LBY_000171,MU-119,Reliable
LBY_000172,GM-063,Reliable
LBY_000173,MU-388,Reliable
LBY_000174,MI-352,Reliable
LBY_000175,WM-046,Reliable
LBY_000176,WM-404,Reliable
LBY_000177,MI-274,Reliable
LBY_000178,WM-031,Reliable
LBY_000179,TR-009,Reliable
LBY_000180,WM-032,Reliable
LBY_000181,JA-336,Reliable
LBY_000182,MI-104,Reliable
LBY_000183,JU-038,Reliable
LBY_000184,MI-509,Reliable
LBY_000185,KU-113,Reliable
LBY_000186,ZA-003,Reliable
LBY_000187,WM-101,Reliable
LBY_000188,MI-329,Reliable
LBY_000189,JU-002,Reliable
LBY_000190,JU-055,Reliable
LBY_000191,MI-301,Reliable
LBY_000192,WM-240,Reliable
LBY_000193,WM-241,Reliable
LBY_000194,WS-052,Reliable
LBY_000195,AJ-028,Reliable
LBY_000196,GM-103,Reliable
LBY_000197,JA-269,Reliable
LBY_000198,NA-117,Reliable
LBY_000199,MU-369,Reliable
LBY_000200,MI-302,Reliable
LBY_000201,KU-031,Unrelaible
LBY_000202,WM-092,Reliable
LBY_000203,MI-477,Reliable
LBY_000204,WS-047,Reliable
LBY_000205,ZA-004,Reliable
LBY_000206,MI-217,Reliable
LBY_000207,MI-072,Reliable
LBY_000208,WA-034,Reliable
LBY_000209,WM-048,Reliable
LBY_000210,DA-099,Reliable
LBY_000211,TR-058,Reliable
LBY_000212,KO-029,Reliable
LBY_000213,SI-101,Reliable
LBY_000214,MI-173,Reliable
LBY_000215,ZA-186,Reliable
LBY_000216,JA-253,Reliable
LBY_000217,ZA-145,Reliable
LBY_000218,NA-072,Reliable
LBY_000219,SI-100,Reliable
LBY_000220,TR-235,Reliable
LBY_000221,SI-106,Reliable
LBY_000222,SI-105,Reliable
LBY_000223,MU-167,Reliable
LBY_000224,WA-036,Reliable
LBY_000225,WM-122,Reliable
LBY_000226,WM-302,Unrelaible
LBY_000227,BI-116,Reliable
LBY_000228,MU-321,Reliable
LBY_000229,JA-177,Reliable
LBY_000230,KU-058,Reliable
LBY_000231,JA-334,Reliable
LBY_000232,MU-133,Reliable
LBY_000233,MU-224,Reliable
LBY_000234,ZA-002,Reliable
LBY_000235,MI-092,Reliable
LBY_000236,SI-036,Reliable
LBY_000237,GM-065,Reliable
LBY_000238,GA-003,Reliable
LBY_000239,JA-205,Reliable
LBY_000240,JA-219,Reliable
LBY_000241,BI-125,Reliable
LBY_000242,WH-024,Reliable
LBY_000243,WM-242,Reliable
LBY_000244,KU-195,Reliable
LBY_000245,MI-236,Reliable
LBY_000246,WM-096,Reliable
LBY_000247,MA-026,Reliable
LBY_000248,NA-008,Reliable
LBY_000249,NA-036,Reliable
LBY_000250,MU-016,Reliable
LBY_000251,JA-138,Reliable
LBY_000252,MI-222,Reliable
LBY_000253,MI-241,Reliable
LBY_000254,JA-048,Reliable
LBY_000255,TR-411,Reliable
LBY_000256,JA-262,Reliable
LBY_000257,GA-012,Reliable
LBY_000258,WM-081,Reliable
LBY_000259,MI-330,Reliable
LBY_000260,TR-157,Reliable
LBY_000261,MI-033,Reliable
LBY_000262,SI-075,Reliable
LBY_000263,SI-005,Reliable
LBY_000264,BI-145,Reliable
LBY_000265,MO-003,Reliable
LBY_000266,AJ-027,Reliable
LBY_000267,MI-099,Reliable
LBY_000268,GM-131,Reliable
LBY_000269,KU-275,Reliable
LBY_000270,MI-175,Reliable
LBY_000271,TR-315,Reliable
LBY_000272,BI-450,Reliable
LBY_000272,BI-450,Reliable
LBY_000273,BI-019,Reliable
LBY_000274,JA-077,Reliable
LBY_000275,MU-364,Reliable
LBY_000276,KU-136,Reliable
LBY_000277,MO-094,Reliable
LBY_000278,MO-033,Reliable
LBY_000279,MO-034,Reliable
LBY_000280,NA-055,Reliable
LBY_000281,BI-205,Reliable
LBY_000282,BI-494,Reliable
LBY_000283,GM-072,Reliable
LBY_000284,GM-112,Reliable
LBY_000285,TR-163,Reliable
LBY_000286,MI-303,Reliable
LBY_000287,TR-568,Reliable
LBY_000288,TR-160,Reliable
LBY_000289,MI-230,Reliable
LBY_000290,GM-196,Reliable
LBY_000291,JU-023,Reliable
LBY_000292,JU-059,Reliable
LBY_000293,MI-026,Reliable
LBY_000294,GM-022,Reliable
LBY_000295,DA-182,Reliable
LBY_000296,DA-088,Reliable
LBY_000297,MI-438,Reliable
LBY_000298,BI-072,Reliable
LBY_000299,MU-118,Reliable
LBY_000300,JU-020,Reliable
LBY_000301,MI-447,Reliable
LBY_000302,MI-454,Reliable
LBY_000303,MI-455,Reliable
LBY_000304,WA-024,Reliable
LBY_000305,MU-135,Reliable
LBY_000306,MI-197,Reliable
LBY_000307,KU-068,Reliable
LBY_000308,ZA-005,Reliable
LBY_000309,WM-192,Reliable
LBY_000310,TR-156,Reliable
LBY_000311,MI-135,Reliable
LBY_000312,TR-255,Reliable
LBY_000313,MI-470,Reliable
LBY_000314,WM-303,Reliable
LBY_000315,TR-250,Reliable
LBY_000316,JU-026,Reliable
LBY_000317,GA-010,Reliable
LBY_000318,MU-259,Reliable
LBY_000319,TR-159,Reliable
LBY_000320,GM-198,Reliable
LBY_000321,GM-024,Reliable
LBY_000322,DA-143,Reliable
LBY_000323,WM-381,Reliable
LBY_000324,DA-024,Reliable
LBY_000325,BI-163,Unrelaible
LBY_000326,KU-269,Reliable
LBY_000327,SA-012,Reliable
LBY_000328,AJ-020,Reliable
LBY_000329,WS-057,Reliable
LBY_000330,WM-002,Reliable
LBY_000331,MI-278,Reliable
LBY_000332,WA-007,Reliable
LBY_000333,WA-035,Reliable
LBY_000334,MU-387,Reliable
LBY_000335,JA-082,Reliable
LBY_000336,GM-044,Reliable
LBY_000337,MU-015,Reliable
LBY_000338,TR-469,Reliable
LBY_000339,WH-029,Reliable
LBY_000340,GM-192,Reliable
LBY_000341,GM-032,Reliable
LBY_000342,SA-0076,Reliable
LBY_000343,SA-001,Reliable
LBY_000344,GM-203,Reliable
LBY_000345,MA-205,Reliable
LBY_000346,MA-062,Reliable
LBY_000347,GA-016,Reliable
LBY_000348,MU-413,Reliable
LBY_000349,ZA-017,Reliable
LBY_000350,GM-017,Reliable
LBY_000351,KU-004,Reliable
LBY_000352,TR-258,Reliable
LBY_000353,DA-011,Reliable
LBY_000354,DA-136,Reliable
LBY_000355,WS-032,Reliable
LBY_000356,JA-268,Reliable
LBY_000357,JA-220,Reliable
LBY_000358,WM-077,Reliable
LBY_000359,MI-437,Reliable
LBY_000360,MI-126,Reliable
LBY_000361,MI-484,Reliable
LBY_000362,GM-113,Reliable
LBY_000363,MI-097,Reliable
LBY_000364,BI-157,Reliable
LBY_000365,BI-482,Reliable
LBY_000366,MI-120,Reliable
LBY_000367,MO-097,Reliable
LBY_000368,MO-039,Reliable
LBY_000369,BI-122,Reliable
LBY_000370,MU-389,Reliable
LBY_000371,MU-054,Reliable
LBY_000372,MU-136,Reliable
LBY_000373,ZA-032,Reliable
LBY_000374,JU-044,Reliable
