,geo_id,year,enrollment_total,enrollment_male,enrollment_female,source_id,EXC INTRAT,EXC INTRAH,EXC INTRAM,dropout_rate
19412,CRI_001039,2019,4,4.0,0.0,1422,5.0,4.0,1,1.25
35404,CRI_004132,2017,0,0.0,0.0,6129,15.0,10.0,5,inf
