geo_id,year,water_basic,water_improved,sanitation_basic,sanitation_sex_separated,handwashing_basic,electricity,internet,internet_type,computers,library,classrooms_total
HND_012065,2011,1,1,,,,0,0,,0,,
HND_009153,2011,1,1,,,,1,0,,0,,
HND_011031,2011,1,1,,,,0,0,,0,,
HND_013384,2011,1,1,,,,1,0,,0,,
HND_012850,2011,,,,,,,0,,0,,
HND_013623,2011,1,1,,,,1,0,,0,,
HND_000579,2011,,,,,,,0,,0,,
HND_003591,2011,,0,,,,0,0,,0,,
HND_012333,2011,,,,,,,0,,0,,
HND_014609,2011,,,,,,,0,,0,,
HND_001698,2011,,,,,,,0,,0,,
HND_013698,2011,1,1,,,,1,0,,0,,
HND_000705,2011,1,1,,,,1,0,,0,,
HND_004302,2011,,,,,,,0,,0,,
HND_013551,2011,,,,,,,0,,0,,
HND_010511,2011,,,,,,,0,,0,,
HND_016822,2011,,0,,,,0,0,,0,,
HND_006050,2011,,,,,,,0,,0,,
HND_010151,2011,,,,,,,0,,0,,
HND_014071,2011,1,1,,,,1,0,,1,,
HND_002182,2011,1,0,,,,0,0,,0,,
HND_009536,2011,1,1,,,,0,0,,0,,
HND_007551,2011,1,1,,,,0,0,,0,,
HND_012493,2011,1,0,,,,0,0,,0,,
HND_006856,2011,1,1,,,,1,0,,0,,
HND_004164,2011,1,1,,,,0,0,,0,,
HND_006771,2011,1,0,,,,0,0,,0,,
HND_006473,2011,1,0,,,,0,0,,0,,
HND_006449,2011,1,1,,,,0,0,,0,,
HND_011643,2011,1,1,,,,0,0,,0,,
HND_014794,2011,1,1,,,,0,0,,0,,
HND_014632,2011,1,1,,,,0,0,,0,,
HND_013616,2011,1,1,,,,1,0,,0,,
HND_006902,2011,1,1,,,,0,0,,0,,
HND_006850,2011,1,1,,,,1,0,,0,,
HND_006573,2011,1,1,,,,0,0,,0,,
HND_012611,2011,,,,,,,0,,0,,
HND_012498,2011,,,,,,,0,,0,,
HND_001744,2011,,,,,,,0,,0,,
HND_012637,2011,,,,,,,0,,0,,
HND_002887,2011,1,1,,,,0,0,,0,,
HND_004290,2011,,,,,,,0,,0,,
HND_010069,2011,,,,,,,0,,0,,
HND_004630,2011,,,,,,,0,,0,,
HND_005779,2011,,,,,,,0,,0,,
HND_008300,2011,0,0,,,,0,0,,0,,
HND_005593,2011,,0,,,,0,0,,0,,
HND_012742,2011,1,1,,,,0,0,,0,,
HND_011598,2011,1,1,,,,0,0,,0,,
HND_009457,2011,1,0,,,,0,0,,0,,
HND_011529,2011,1,1,,,,0,0,,0,,
HND_007543,2011,1,0,,,,0,0,,0,,
HND_005576,2011,1,1,,,,1,1,,1,,
HND_013239,2011,1,1,,,,0,0,,0,,
HND_007957,2011,,0,,,,0,0,,0,,
HND_013487,2011,1,1,,,,0,0,,0,,
HND_015280,2011,1,1,,,,0,0,,0,,
HND_016580,2011,1,1,,,,1,0,,1,,
HND_011841,2011,1,1,,,,0,0,,0,,
HND_005083,2011,1,1,,,,1,0,,1,,
HND_011977,2011,1,1,,,,0,0,,0,,
HND_004483,2011,1,1,,,,0,0,,0,,
HND_009454,2011,1,1,,,,1,0,,1,,
HND_011846,2011,1,1,,,,1,0,,0,,
HND_007536,2011,1,1,,,,1,0,,0,,
HND_016613,2011,1,1,,,,0,0,,0,,
HND_010304,2011,1,1,,,,1,0,,0,,
HND_007963,2011,1,1,,,,1,0,,0,,
HND_015322,2011,1,1,,,,0,0,,0,,
HND_013122,2011,1,0,,,,0,0,,0,,
HND_005049,2011,1,0,,,,1,0,,0,,
HND_000186,2011,1,1,,,,0,0,,0,,
HND_001177,2011,1,1,,,,1,0,,1,,
HND_005592,2011,1,1,,,,0,0,,0,,
HND_009180,2011,1,1,,,,1,0,,1,,
HND_013546,2011,1,1,,,,0,0,,0,,
HND_007644,2011,1,1,,,,0,0,,0,,
HND_003579,2011,1,1,,,,0,0,,0,,
HND_008446,2011,1,1,,,,0,0,,0,,
HND_005046,2011,1,1,,,,1,0,,0,,
HND_000285,2011,1,1,,,,0,0,,0,,
HND_016073,2011,1,1,,,,0,0,,0,,
HND_000207,2011,1,0,,,,0,0,,0,,
HND_016277,2011,1,1,,,,0,0,,0,,
HND_012019,2011,1,1,,,,1,0,,1,,
HND_011951,2011,1,1,,,,0,0,,0,,
HND_016518,2011,1,1,,,,1,0,,1,,
HND_005182,2011,1,1,,,,0,0,,0,,
HND_009775,2011,0,0,,,,1,0,,0,,
HND_011204,2011,1,1,,,,0,0,,0,,
HND_009485,2011,1,0,,,,0,0,,0,,
HND_014998,2011,1,1,,,,0,0,,0,,
HND_009355,2011,1,1,,,,1,0,,0,,
HND_009510,2011,0,0,,,,0,0,,0,,
HND_014920,2011,1,1,,,,0,0,,0,,
HND_000030,2011,1,1,,,,0,0,,0,,
HND_012492,2011,1,1,,,,0,0,,0,,
HND_001028,2011,1,0,,,,0,0,,0,,
HND_003582,2011,1,1,,,,0,0,,0,,
HND_001338,2011,1,1,,,,1,0,,0,,
HND_006924,2011,1,1,,,,1,0,,0,,
HND_013667,2011,1,1,,,,1,0,,0,,
HND_006071,2011,1,1,,,,1,0,,0,,
HND_016203,2011,1,1,,,,1,0,,0,,
HND_010181,2011,1,1,,,,1,0,,0,,
HND_006045,2011,1,1,,,,1,0,,0,,
HND_002573,2011,1,1,,,,0,0,,0,,
HND_009876,2011,1,1,,,,0,0,,0,,
HND_003241,2011,1,0,,,,0,0,,0,,
HND_010142,2011,1,1,,,,0,0,,0,,
HND_004523,2011,1,1,,,,0,0,,0,,
HND_003486,2011,1,1,,,,0,0,,0,,
HND_004158,2011,1,1,,,,0,0,,0,,
HND_016756,2011,1,1,,,,0,0,,0,,
HND_012785,2011,1,1,,,,0,0,,0,,
HND_002340,2011,1,1,,,,0,0,,0,,
HND_003803,2011,1,1,,,,1,0,,0,,
HND_010933,2011,1,1,,,,0,0,,0,,
HND_012595,2011,1,1,,,,0,0,,0,,
HND_012470,2011,1,1,,,,0,0,,0,,
HND_004028,2011,1,1,,,,1,0,,0,,
HND_003902,2011,,0,,,,0,0,,0,,
HND_006437,2011,1,1,,,,0,0,,0,,
HND_014744,2011,1,1,,,,0,0,,0,,
HND_006515,2011,1,1,,,,0,0,,0,,
HND_006501,2011,,0,,,,0,0,,0,,
HND_006513,2011,1,1,,,,0,0,,0,,
HND_001974,2011,,0,,,,0,0,,0,,
HND_014509,2011,1,1,,,,0,0,,0,,
HND_016444,2011,1,1,,,,0,0,,0,,
HND_006075,2011,1,1,,,,1,0,,0,,
HND_009965,2011,1,1,,,,0,0,,0,,
HND_015437,2011,1,1,,,,0,0,,0,,
HND_004521,2011,1,1,,,,1,0,,0,,
HND_006790,2011,1,0,,,,0,0,,0,,
HND_006569,2011,1,1,,,,0,0,,0,,
HND_012315,2011,1,0,,,,0,0,,0,,
HND_001821,2011,1,1,,,,0,0,,0,,
HND_001672,2011,1,1,,,,0,0,,0,,
HND_010111,2011,,,,,,,0,,0,,
HND_010187,2011,,,,,,,0,,0,,
HND_004288,2011,1,1,,,,1,0,,0,,
HND_008987,2011,1,1,,,,0,0,,0,,
HND_008325,2011,1,1,,,,1,0,,0,,
HND_013804,2011,1,1,,,,0,0,,0,,
HND_009116,2011,1,1,,,,0,0,,0,,
HND_010231,2011,1,1,,,,0,0,,0,,
HND_010564,2011,1,1,,,,1,0,,0,,
HND_000265,2011,1,1,,,,0,0,,0,,
HND_013555,2011,1,0,,,,0,0,,0,,
HND_015778,2011,1,1,,,,0,0,,0,,
HND_012602,2011,,,,,,,0,,0,,
HND_003456,2011,,,,,,,0,,0,,
